GEOID,NAME,dbscan_cluster,event_count
13157,Jackson,-1,29
13077,Coweta,-1,26
13163,Jefferson,-1,26
13175,Laurens,-1,26
13029,Bryan,-1,22
13177,Lee,-1,22
13227,Pickens,-1,20
13195,Madison,-1,18
13211,Morgan,-1,17
13107,Emanuel,-1,16
13073,Columbia,-1,11
13221,Oglethorpe,-1,11
13045,Carroll,-1,10
13111,Fannin,-1,10
13189,McDuffie,-1,10
13127,Glynn,-1,9
13185,Lowndes,-1,9
13219,Oconee,-1,9
13105,Elbert,-1,8
13153,Houston,-1,8
13217,Newton,-1,8
13245,Richmond,-1,7
13125,Glascock,-1,6
13285,Troup,-1,6
13097,Douglas,-1,5
13121,Fulton,-1,5
13151,Henry,-1,5
13193,Macon,-1,5
13199,Meriwether,-1,5
13297,Walton,-1,5
13025,Brantley,-1,4
13051,Chatham,-1,4
13101,Echols,-1,4
13165,Jenkins,-1,4
13179,Liberty,-1,4
13261,Sumter,-1,4
13291,Union,-1,4
13299,Ware,-1,4
13301,Warren,-1,4
13305,Wayne,-1,4
13023,Bleckley,-1,3
13033,Burke,-1,3
13049,Charlton,-1,3
13143,Haralson,-1,3
13229,Pierce,-1,3
13235,Pulaski,-1,3
13267,Tattnall,-1,3
13287,Turner,-1,3
13309,Wheeler,-1,3
13011,Banks,-1,2
13015,Bartow,-1,2
13019,Berrien,-1,2
13027,Brooks,-1,2
13147,Hart,-1,2
13167,Johnson,-1,2
13205,Mitchell,-1,2
13223,Paulding,-1,2
13271,Telfair,-1,2
13003,Atkinson,-1,1
13035,Butts,-1,1
13047,Catoosa,-1,1
13057,Cherokee,-1,1
13065,Clinch,-1,1
13067,Cobb,-1,1
13081,Crisp,-1,1
13085,Dawson,-1,1
13095,Dougherty,-1,1
13103,Effingham,-1,1
13119,Franklin,-1,1
13123,Gilmer,-1,1
13133,Greene,-1,1
13139,Hall,-1,1
13149,Heard,-1,1
13155,Irwin,-1,1
13159,Jasper,-1,1
13183,Long,-1,1
13191,McIntosh,-1,1
13225,Peach,-1,1
13231,Pike,-1,1
13251,Screven,-1,1
13255,Spalding,-1,1
13263,Talbot,-1,1
13303,Washington,-1,1
13319,Wilkinson,-1,1
13089,DeKalb,0,865
13063,Clayton,0,830
13151,Henry,0,339
13247,Rockdale,0,281
13121,Fulton,0,225
13217,Newton,0,42
13113,Fayette,0,28
13135,Gwinnett,0,18
13067,Cobb,0,9
13117,Forsyth,0,7
13255,Spalding,0,1
13059,Clarke,1,256
13013,Barrow,1,170
13157,Jackson,1,73
13219,Oconee,1,28
13297,Walton,1,8
13135,Gwinnett,1,7
13221,Oglethorpe,1,7
13139,Hall,1,3
13195,Madison,1,1
13245,Richmond,2,387
13073,Columbia,2,157
13097,Douglas,3,257
13067,Cobb,3,18
13223,Paulding,3,3
13121,Fulton,3,2
13215,Muscogee,4,206
13053,Chattahoochee,4,1
13227,Pickens,5,53
13127,Glynn,6,236
13039,Camden,6,1
13051,Chatham,7,500
13103,Effingham,7,2
13185,Lowndes,8,26
13077,Coweta,9,109
13113,Fayette,9,50
13045,Carroll,10,38
13175,Laurens,11,65
13153,Houston,12,10
13279,Toombs,13,19
13189,McDuffie,14,45
13073,Columbia,14,1
13211,Morgan,15,35
13221,Oglethorpe,16,17
13217,Newton,17,19
13155,Irwin,18,10
13031,Bulloch,19,13
