ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
13,Georgia,GA,13001,Appling,13001,"Appling County, Georgia",508.27419407532,18428,0,8597,59,6650,301,6715,836,299,126,1536,303,2808,330,2221,427,3162,6,4565,0,2707,323,494,159,393,194,5733,257,95,110,2974,351,131,69,542,157,508,140,37.3,4.6,3.8,1.6,23.1,4.4,22.8,2.6,12.3,2.4,17.2,0.1,24.8,0.0,15.1,1.8,7.4,2.4,2.3,1.1,31.1,1.4,1.1,1.3,34.6,4.1,2.0,1.0,8.2,2.4,2.8,0.8,0.8038,0.1266,0.3354,0.8544,0.3228,2.443,0.4367,0.5316,0.7722,0.3861,0.4557,0.8038,2.9494,0.8165,0.3481,0.3481,0.3481,0.3228,0.8608,0.4747,0.6646,0.6139,2.9368,0.6899,8.6773,0.6266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16104,5903,739,3637,172,1834,0,0,22,121,167,0,22,120,83,21,21,32.9,0.3,19.7,0.9,10.0,0.0,0.0,0.2,0.7,0.9,0.0,0.2,0.7,0.4,0.1,0.2
13,Georgia,GA,13003,Atkinson,13003,"Atkinson County, Georgia",342.718333714948,8311,0,3511,15,2953,126,3715,336,239,88,582,144,1704,203,1737,283,1075,72,2223,9,1272,215,264,80,847,220,3675,190,58,43,1528,161,92,59,149,55,27,13,44.9,4.1,6.4,2.4,19.7,4.8,32.3,3.9,20.9,3.4,12.9,0.9,26.7,0.1,15.3,2.6,8.9,2.7,11.0,2.8,44.2,2.3,1.7,1.2,43.5,4.6,3.1,2.0,5.0,1.9,0.3,0.2,0.9684,0.6329,0.1329,1.0,0.9684,3.7026,0.9304,0.1203,0.962,0.4177,0.6772,0.9937,3.1709,0.9114,0.6519,0.6519,0.6519,0.4241,0.9747,0.7911,0.3418,0.0443,2.576,0.5,10.1014,0.8671,1,0,0,1,1,3,0,1,0,0,1,2,0,0,0,1,0,0,0,1,6,6225,2579,488,1287,132,2157,0,0,20,56,19,0,20,175,131,0,0,31.1,5.9,15.5,1.6,26.0,0.0,0.0,0.5,0.7,0.2,0.0,0.5,2.1,1.6,0.0,0.5
13,Georgia,GA,13005,Bacon,13005,"Bacon County, Georgia",284.082353096338,11140,0,4819,65,3743,174,4062,568,185,100,712,175,1290,248,1978,461,1738,67,2847,0,1988,276,379,117,186,177,2981,166,13,14,1852,244,105,87,289,129,808,172,39.3,5.5,4.3,2.3,19.0,4.6,17.6,3.3,19.1,4.5,15.6,0.6,25.6,0.0,19.2,2.6,10.1,3.1,1.8,1.7,26.8,1.5,0.3,0.3,38.4,5.1,2.8,2.3,7.7,3.4,7.3,1.5,0.8544,0.2405,0.0949,0.6139,0.9304,2.7341,0.5886,0.3228,0.8608,0.8165,0.7975,0.7405,3.5381,0.9937,0.2405,0.2405,0.2405,0.0759,0.9241,0.7215,0.6203,0.8481,3.1899,0.8608,9.7026,0.7911,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,10259,2676,646,1832,114,933,0,52,63,0,22,0,22,164,96,0,0,25.9,0.4,16.4,1.0,8.4,0.0,0.5,0.6,0.0,0.4,0.0,0.4,1.5,0.9,0.0,0.4
13,Georgia,GA,13007,Baker,13007,"Baker County, Georgia",341.957174934862,3090,0,1841,215,1448,184,1210,349,167,80,291,97,385,104,419,163,922,181,525,154,607,191,55,33,3,54,1541,339,2,14,472,103,28,32,110,57,7,5,39.2,11.3,14.0,7.1,20.1,6.2,16.8,4.4,13.6,5.3,29.8,5.8,17.0,5.0,19.6,6.2,3.8,2.2,0.1,1.8,49.9,11.0,0.1,0.8,25.6,5.1,1.9,2.2,7.6,3.6,0.2,0.2,0.8418,0.9937,0.1519,0.538,0.5127,3.0381,0.7278,0.9747,0.0759,0.8608,0.0633,0.0696,2.0443,0.1835,0.7722,0.7722,0.7722,0.038,0.5949,0.4367,0.6139,0.0316,1.7151,0.1646,7.5697,0.4304,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1834,1343,281,1173,273,141,140,175,134,3,5,17,28,32,47,0,0,43.6,9.1,38.0,8.8,4.6,4.5,5.7,4.4,0.1,0.2,0.6,0.9,1.0,1.5,0.0,1.4
13,Georgia,GA,13009,Baldwin,13009,"Baldwin County, Georgia",258.698074403624,45072,0,20638,243,16698,604,13026,1231,1466,377,4831,551,3805,439,5024,884,7145,86,8450,63,7091,678,1738,405,313,208,21524,462,850,242,3671,507,284,156,1060,275,4772,583,31.9,3.0,7.4,1.9,28.9,3.1,13.5,1.6,11.7,2.0,15.9,0.2,18.7,0.1,16.5,1.6,10.4,2.4,0.7,0.5,47.8,1.0,4.1,1.2,17.8,2.5,1.7,0.9,6.3,1.6,10.6,1.3,0.557,0.7722,0.7911,0.2785,0.2215,2.6203,0.5063,0.3861,0.1266,0.557,0.8228,0.4177,2.3102,0.3861,0.7532,0.7532,0.7532,0.7722,0.4051,0.3671,0.4873,0.9241,2.9558,0.7025,8.6395,0.6203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,48267,6904,1346,18827,334,1063,0,802,44,52,48,72,127,683,285,25,25,17.1,0.2,41.8,0.7,2.4,0.0,1.8,0.1,0.1,0.1,0.2,0.3,1.5,0.6,0.1,0.1
13,Georgia,GA,13011,Banks,13011,"Banks County, Georgia",232.61639318188,18900,21,7796,28,6941,202,4914,736,313,114,1660,247,3277,458,2572,506,3165,41,4323,74,3552,386,260,90,256,123,2342,251,43,49,2165,271,178,85,201,63,0,22,26.0,3.9,3.7,1.4,23.9,3.5,24.9,3.5,13.6,2.7,16.7,0.2,22.9,0.4,18.8,2.0,3.7,1.3,1.4,0.7,12.4,1.3,0.6,0.6,27.8,3.5,2.6,1.2,2.9,0.9,0.0,0.1,0.3291,0.1076,0.4051,0.8987,0.5127,2.2532,0.3671,0.4557,0.5,0.7785,0.057,0.6456,2.4368,0.462,0.0759,0.0759,0.0759,0.1709,0.6329,0.6709,0.0949,0.0,1.5696,0.1139,6.3355,0.2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14157,3902,594,408,148,1325,22,211,40,94,130,0,22,304,146,0,0,20.6,3.1,2.2,0.8,7.0,0.1,1.1,0.2,0.5,0.7,0.0,0.2,1.6,0.8,0.0,0.2
13,Georgia,GA,13013,Barrow,13013,"Barrow County, Georgia",161.036549191738,81294,0,29036,88,27268,282,16651,1647,2004,370,6921,597,7236,610,12414,1034,10163,124,21133,0,10903,731,2170,381,1943,320,24711,721,430,148,2104,307,581,149,969,227,217,122,20.6,2.0,4.8,0.9,25.4,2.2,13.5,1.1,15.3,1.3,12.5,0.2,26.0,0.0,13.4,0.9,8.0,1.4,2.6,0.4,30.4,0.9,1.5,0.5,7.2,1.1,2.1,0.5,3.6,0.8,0.3,0.2,0.1392,0.3228,0.4937,0.2785,0.6709,1.9051,0.2722,0.1076,0.8924,0.2532,0.557,0.8544,2.6646,0.6456,0.3165,0.3165,0.3165,0.3924,0.1519,0.5,0.1582,0.0443,1.2468,0.057,6.133,0.1772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67331,7755,1113,9735,315,9351,0,3191,97,136,102,5,12,2091,618,202,202,9.6,0.0,12.0,0.4,11.5,0.0,3.9,0.1,0.2,0.1,0.0,0.1,2.6,0.8,0.2,0.2
13,Georgia,GA,13015,Bartow,13015,"Bartow County, Georgia",458.908822864066,106456,0,41684,139,37905,600,23521,1808,3030,560,9740,912,9787,947,15672,1338,14830,125,25703,66,13758,1065,2448,436,1665,381,25756,1164,2269,451,4680,442,825,243,1399,314,1091,271,22.4,1.7,5.8,1.0,25.7,2.4,13.8,1.3,14.9,1.3,13.9,0.1,24.1,0.1,13.1,1.0,6.5,1.1,1.7,0.4,24.2,1.1,5.4,1.1,11.2,1.1,2.2,0.6,3.7,0.8,1.0,0.3,0.1962,0.5063,0.5253,0.3101,0.6139,2.1518,0.3291,0.1835,0.6392,0.2278,0.3291,0.7089,2.0885,0.2278,0.2025,0.2025,0.2025,0.8481,0.2278,0.5443,0.1835,0.2722,2.0759,0.2975,6.5187,0.2342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104524,20634,2078,10465,655,9459,0,983,253,134,98,62,116,3034,687,1619,1619,19.6,0.1,9.8,0.6,8.9,0.0,0.9,0.2,0.1,0.1,0.1,0.1,2.9,0.6,1.5,0.6
13,Georgia,GA,13017,Ben Hill,13017,"Ben Hill County, Georgia",250.117695294546,16889,0,8015,57,6612,294,7066,868,433,153,1883,389,1864,287,3325,632,2893,23,4196,0,2000,348,702,243,240,163,7551,256,152,93,1870,258,155,144,625,200,333,129,42.8,5.2,6.1,2.1,28.5,5.7,16.4,2.5,20.1,3.8,17.1,0.1,24.8,0.0,12.1,2.1,10.6,3.6,1.5,1.0,44.7,1.5,1.9,1.2,23.3,3.2,2.3,2.2,9.5,3.0,2.0,0.8,0.9304,0.5696,0.7278,0.5,0.9557,3.6835,0.9114,0.5127,0.7722,0.1456,0.8481,0.6709,2.9495,0.8291,0.6835,0.6835,0.6835,0.4747,0.5506,0.5696,0.8038,0.5253,2.924,0.6772,10.2405,0.8861,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17246,5235,795,6238,186,1052,0,99,128,0,22,0,22,162,115,0,0,31.6,0.3,36.9,1.1,6.2,0.0,0.6,0.8,0.0,0.3,0.0,0.3,1.0,0.7,0.0,0.3
13,Georgia,GA,13019,Berrien,13019,"Berrien County, Georgia",453.376244911732,19206,0,8811,48,7391,242,6604,721,477,183,1501,287,2705,400,4120,592,3447,127,4633,52,3314,367,429,146,97,98,3532,208,40,69,2834,276,99,70,442,189,193,94,34.9,3.8,5.8,2.3,20.3,3.8,20.4,3.0,21.7,3.1,17.9,0.7,24.1,0.3,17.5,1.9,5.8,2.0,0.5,0.5,18.4,1.1,0.5,0.8,32.2,3.1,1.3,0.9,6.0,2.5,1.0,0.5,0.6899,0.5063,0.1582,0.7532,0.981,3.0886,0.7532,0.5949,0.6392,0.6456,0.2595,0.3165,2.4557,0.4747,0.1519,0.1519,0.1519,0.1392,0.7785,0.2152,0.462,0.2722,1.8671,0.2025,7.5633,0.4177,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15793,4881,551,1920,126,1015,0,186,70,12,22,0,22,398,147,1,1,25.7,0.1,10.0,0.7,5.3,0.0,1.0,0.4,0.1,0.1,0.0,0.2,2.1,0.8,0.0,0.1
